"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Sakura Hime 2","0","0","10","0","1.07","1.07","0.11","0.09","18.2","0.12","0.30","51","0.48","2022-05-03","1223870"
"Machine Learning: Episode I","0","0","5","0","0.29","0.29","0.06","0.04","33.3","0.03","0.03","73","0.16","2022-05-03","524030"
"NOISZ","0","0","5","0","0.85","0.85","0.17","0.36","-111.8","0.41","0.89","19","0.44","2022-05-03","681530"
"Demented","0","0","5","0","0.34","0.34","0.07","0.04","42.9","0.03","0.03","84","0.18","2022-05-03","418000"
"Buccaneers!","0","0","6","0","1.23","1.23","0.20","0.32","-60.0","1.09","0.38","22","0.52","2022-05-03","1148560"
"Home Behind 2","0","0","5","0","0.25","0.25","0.05","0.04","20.0","0.13","0.07","270","0.13","2022-05-01","1220010"
"The Seeker","0","0","5","0","0.31","0.31","0.06","0.05","16.7","0.09","0.03","51","0.16","2022-05-01","503680"
"Lust Academy","0","0","15","0","0.85","0.85","0.06","0.09","-50.0","0.83","0.15","114","0.42","2022-04-30","1846920"
"SQUID GIRLS 18+","0","0","5","0","0.49","0.49","0.10","0.57","-470.0","0.15","0.18","46","0.26","2022-04-30","1881140"
"Button City","0","0","10","0","0.83","0.83","0.08","0.54","-575.0","3.43","0.76","35","0.35","2022-04-29","1273750"
"Recursive Ruin","0","0","12","0","1.02","1.02","0.09","N/A","0.0","33.82","0.47","37","0.47","2022-04-29","1561890"
"Core Keeper","0","0","8","0","0.40","0.40","0.05","0.04","20.0","0.05","0.05","1516","0.17","2022-04-29","1621690"
"Warhammer 40,000: Chaos Gate - Daemonhunters","0","0","5","0","0.57","0.57","0.11","0.13","-18.2","0.10","0.12","264","0.29","2022-04-29","1611910"
"qop 3","0","0","5","0","0.39","0.39","0.08","0.05","37.5","0.03","0.03","134","0.21","2022-04-29","864300"
"Out of the Park Baseball 23","0","0","6","0","0.31","0.31","0.05","0.19","-280.0","2.45","0.36","91","0.13","2022-04-29","1739010"
"Trigon: Space Story","0","0","6","0","0.44","0.44","0.07","N/A","0.0","0.17","7.29","90","0.18","2022-04-28","1226510"
"IRON GUARD VR","0","0","6","0","0.59","0.59","0.10","0.36","-260.0","1.00","0.54","37","0.26","2022-04-27","1213220"
"King Arthur: Knight's Tale","0","0","6","0","0.51","0.51","0.09","0.08","11.1","0.91","0.07","168","0.23","2022-04-27","1157390"
"Between Time: Escape Room","0","0","5","0","0.43","0.43","0.09","0.06","33.3","0.12","0.26","47","0.23","2022-04-26","1580150"
"Tyrone vs Cops","0","0","5","0","0.60","0.60","0.12","0.12","0.0","0.60","1.92","61","0.31","2022-04-24","1853200"
"The Heart of Darkness","0","0","13","0","0.75","0.75","0.06","0.14","-133.3","0.88","0.71","35","0.37","2022-04-24","1413990"
"Godlike Burger","0","0","10","0","0.56","0.56","0.06","0.07","-16.7","0.17","0.06","68","0.26","2022-04-23","1432910"
"Luck be a Landlord","0","0","9","0","0.36","0.36","0.04","0.06","-50.0","0.15","0.05","575","0.17","2022-04-23","1404850"
"Drift Streets Japan","0","0","5","0","0.23","0.23","0.05","0.04","20.0","0.03","0.03","206","0.13","2022-04-23","412880"
"Summer Memory of Bell","0","0","15","0","0.72","0.72","0.05","0.11","-120.0","0.50","0.53","53","0.35","2022-04-22","871570"
"Streaming Girls [18+] - OnlyFap ●LIVE","0","0","5","0","0.70","0.70","0.14","0.19","-35.7","0.20","0.22","43","0.37","2022-04-22","1847990"
"Super Jigsaw Puzzle","0","0","5","0","0.29","0.29","0.06","0.09","-50.0","0.20","0.61","101","0.16","2022-04-21","792650"
"退休模拟器","0","0","5","0","0.31","0.31","0.06","0.10","-66.7","5.44","0.46","87","0.16","2022-04-20","1220840"
"Retrowave","0","0","7","0","0.63","0.63","0.09","0.08","11.1","0.13","0.23","286","0.31","2022-04-20","1239690"
"Chasing Tails -A Promise in the Snow-","0","0","6","0","0.67","0.67","0.11","0.21","-90.9","0.11","0.14","40","0.29","2022-04-17","1555110"
"Milk Bottle And Monster Girl","0","0","5","0","0.53","0.53","0.11","0.10","9.1","0.36","0.21","31","0.29","2022-04-16","1839700"
"Webbed","0","0","5","0","0.31","0.31","0.06","0.04","33.3","0.05","0.05","351","0.16","2022-04-16","1390350"
"UpGun","0","0","7","0","0.80","0.80","0.11","0.19","-72.7","1.08","0.38","32","0.38","2022-04-16","1575870"
"Tame It!","0","0","10","0","0.53","0.53","0.05","0.05","0.0","1.59","0.45","67","0.22","2022-04-16","1706850"
"Chromosome Evil","0","0","5","0","0.48","0.48","0.10","0.27","-170.0","2.19","0.34","37","0.26","2022-04-15","1035660"
"EBOLA","0","0","13","0","0.65","0.65","0.05","0.09","-80.0","0.33","0.58","37","0.30","2022-04-15","1094660"
"Circle Empires Tactics","0","0","6","0","0.38","0.38","0.06","0.56","-833.3","5.76","0.43","49","0.16","2022-04-14","1515260"
"Winning Post 9 2022","0","0","5","0","0.90","0.90","0.18","N/A","0.0","0.50","0.38","81","0.47","2022-04-14","1709400"
"Brookhaven Grimoire","0","0","5","0","0.36","0.36","0.07","0.31","-342.9","0.51","0.35","44","0.18","2022-04-12","1499240"
"Ib","0","0","5","0","0.72","0.72","0.14","0.29","-107.1","0.50","0.20","164","0.37","2022-04-12","1901370"
"Raiders! Forsaken Earth","0","0","6","0","0.37","0.37","0.06","0.83","-1,283.3","2.02","0.99","45","0.16","2022-04-12","972010"
"Monster Sanctuary","0","0","8","0","0.32","0.32","0.04","0.03","25.0","0.06","0.07","745","0.14","2022-04-11","814370"
"Forgive Me Father","0","0","8","0","0.64","0.64","0.08","0.06","25.0","0.19","0.09","46","0.28","2022-04-11","1590910"
"Arcadia Fallen","0","0","14","0","0.84","0.84","0.06","0.67","-1,016.7","0.41","0.77","43","0.37","2022-04-11","1174640"
"Suits: Absolute Power","0","0","7","0","0.94","0.94","0.13","2.31","-1,676.9","0.58","0.75","34","0.45","2022-04-09","1210230"
"Buggos","0","0","5","0","0.33","0.33","0.07","0.44","-528.6","0.29","0.27","57","0.18","2022-04-08","789660"
